Payment Hash,Amount (sats),Num Hops,Fee (sats),Local Start (unix),Local End (unix),Local Duration (s),Attempt Time (ns),Resolve Time (ns),LN Duration (s)
j1E7AFD0Flw7+VLV26WmaU72bw6Uo11Tm22n291PGWY=,10000,3,11,1737738594,1737738599,4.293,0,0,0.0
3K2+ZCZORsm4unvOvlls/q6wNSSnkEBSkPjCcZRgr5w=,10000,3,10,1737738609,1737738613,4.036,0,0,0.0
Pjkp0jIksWtoTPo9QRlvTHXSMAGOPhoLE9ohfeRwhE8=,10000,3,10,1737738623,1737738626,3.303,0,0,0.0
A/kG/WCIrW8cPuqYuTZOfp+q3f3EnddzvQ1V0zV+DAU=,10000,3,10,1737738636,1737738640,3.953,0,0,0.0
1H5YJhA6F/QyZOoZH+clbU72drMgqKciPJArbBb12ts=,10000,3,10,1737738650,1737738654,3.843,0,0,0.0
KrVL5QZ3vECHzrI9cHymznTNiTA2rjjPRJGDkh/RCfI=,10000,3,11,1737738664,1737738668,4.498,0,0,0.0
zYJlDxAKDk0EEb/YVtt0iet5IOOaHI7+HDsgBO0YNh4=,10000,3,11,1737738678,1737738683,5.054,0,0,0.0
R3W/Ubu1R+eHBUKCUgQdcJYmNHnYJjeElyVXyfpd6w8=,10000,3,11,1737738693,1737738699,5.427,0,0,0.0
ideKrmG0IQyQXMno8vYPXxg/lbAwbTvYhtUz7cIP7H4=,10000,3,11,1737738709,1737738713,3.875,0,0,0.0
HKKkPQHS70aQQNx5fiOuJfQdEK7t0J1d/nJsfW7q0uc=,10000,3,11,1737738723,1737738729,6.208,0,0,0.0
