Payment Hash,Amount (sats),Num Hops,Fee (sats),Local Start (unix),Local End (unix),Local Duration (s),Attempt Time (ns),Resolve Time (ns),LN Duration (s)
Dqib5PeAW4C570mdvPKg21J+GO330mB6KWn8Q+KVcCI=,100000,3,98,1737735151,1737735154,3.818,0,0,0.0
KWItLScHRNKeyno+IJ5nN2aID/BqNPLzH+4AEtxUxA8=,100000,3,98,1737735557,1737735581,24.147,0,0,0.0
EbdvXElr0FeSlN7Sc/CsQQeUp5RmNYfxXhM3CCSKUxc=,100000,3,98,1737736022,1737736030,7.315,0,0,0.0
PhvPxSW5TAS29RpN6klDRd9GplIbrhklBFzgGH29NM0=,100000,3,98,1737736486,1737736496,9.514,0,0,0.0
ggIyGqPVYlMFb/j2JJkAisukjheHPu58c63MHQu36oU=,100000,3,98,1737736906,1737736928,22.587,0,0,0.0
HYyVcGdy06gQvKGZywqwoRvsqsSEZo/kjpoK7b+Y4bc=,50000,3,50,1737737525,1737737531,6.427,0,0,0.0
0K5xrpBFTKq4EvkipzYCFY04wVkHs9GmxR4rDHYna90=,50000,3,95,1737737541,1737737554,13.055,0,0,0.0
bN+SzCn6QcFQhCVomyUkcB7mTT05Kol+6keigTf5vL0=,50000,3,50,1737737744,1737737764,20.136,0,0,0.0
v+KCUamvZ+bHo3KAcO1BviJGYlmY3UtXc+jEpmWiw3I=,50000,3,95,1737737774,1737737792,17.978,0,0,0.0
IkY4ruqNkrGigSgDmNb+I73GQQdStK7OfY1ntcXiZzw=,50000,3,46,1737738037,1737738057,20.604,0,0,0.0
SqkvgEUhYA/sSy/1CYOZz9SaAd2+83zuAuHkWN0PX4w=,50000,3,46,1737738067,1737738083,15.072,0,0,0.0
nHTxgOfSO0YYVI97U5Sol3k3qmShqEx+ULrpl5mfjF8=,10000,3,12,1737732594,1737732647,53.097,0,0,0.0
0XVqZ7bjN5wKetL6ZcT/MTVkeXXdfXiiuYQXPpFB+zQ=,10000,3,13,1737732773,1737732846,73.094,0,0,0.0
8sUqjFeQLq1+suXHZnzJa2dKxjW3OEtBc8oXE7kgcKY=,10000,3,12,1737732906,1737732914,7.798,0,0,0.0
RqnNOGaNcypU8TjkrHlXvEIPdWOo0EMXNC62rXk/5B0=,10000,3,12,1737732974,1737732989,15.804,0,0,0.0
j1E7AFD0Flw7+VLV26WmaU72bw6Uo11Tm22n291PGWY=,10000,3,11,1737738594,1737738599,4.293,0,0,0.0
3K2+ZCZORsm4unvOvlls/q6wNSSnkEBSkPjCcZRgr5w=,10000,3,10,1737738609,1737738613,4.036,0,0,0.0
Pjkp0jIksWtoTPo9QRlvTHXSMAGOPhoLE9ohfeRwhE8=,10000,3,10,1737738623,1737738626,3.303,0,0,0.0
A/kG/WCIrW8cPuqYuTZOfp+q3f3EnddzvQ1V0zV+DAU=,10000,3,10,1737738636,1737738640,3.953,0,0,0.0
1H5YJhA6F/QyZOoZH+clbU72drMgqKciPJArbBb12ts=,10000,3,10,1737738650,1737738654,3.843,0,0,0.0
KrVL5QZ3vECHzrI9cHymznTNiTA2rjjPRJGDkh/RCfI=,10000,3,11,1737738664,1737738668,4.498,0,0,0.0
zYJlDxAKDk0EEb/YVtt0iet5IOOaHI7+HDsgBO0YNh4=,10000,3,11,1737738678,1737738683,5.054,0,0,0.0
R3W/Ubu1R+eHBUKCUgQdcJYmNHnYJjeElyVXyfpd6w8=,10000,3,11,1737738693,1737738699,5.427,0,0,0.0
ideKrmG0IQyQXMno8vYPXxg/lbAwbTvYhtUz7cIP7H4=,10000,3,11,1737738709,1737738713,3.875,0,0,0.0
HKKkPQHS70aQQNx5fiOuJfQdEK7t0J1d/nJsfW7q0uc=,10000,3,11,1737738723,1737738729,6.208,0,0,0.0
xH9lFSoXVinwurZefouPWsWRH40yjAiFXGGngHhIOVc=,5000,3,7,1737734147,1737734166,19.833,0,0,0.0
9+YwTeITVtpXmsjZZxi0TzxTYrLKc9lZaoA2VVkQcfU=,5000,3,6,1737734176,1737734189,12.395,0,0,0.0
v9dfVkGQ9YOKXnnvemE/VMtZ9NY96IQ4Fay7wBjVGbw=,5000,3,7,1737734199,1737734215,16.352,0,0,0.0
q7jy4Uu8xp8Jfx3E+5TDPNwlh30OFDwfiRRATXoV2G0=,5000,3,6,1737734225,1737734256,30.859,0,0,0.0
mheLG1FdMlmK918wbu4yAm7LVT6Og3+GrM6WCtUh1V4=,5000,3,7,1737734266,1737734297,31.304,0,0,0.0
+rZTfFaScHS4tLHz5o0Kv3YM65vmrmmK7mGAL3s4BuA=,5000,3,7,1737734307,1737734347,40.049,0,0,0.0
sgVbo5S9icz5nXDfKuZ7iWrTzxP4nb7nR/KLrUImLn8=,5000,4,19,1737734773,1737734797,23.987,0,0,0.0
N1KOZTRVVPKajeKTECMc9oWt+u4yxCxEIY9YET20b/Q=,5000,3,9,1737734875,1737734919,44.303,0,0,0.0
