block_height,total_fees,num_txs
870000,3344267,2515
865000,15796269,5928
860000,5817298,3625
855000,5858578,2338
850000,11921978,3163
845000,17309568,3435
840000,3762561499,3050
835000,19179616,2238
830000,23268040,1851
825000,113242774,4273
820000,252058187,3371
815000,23485247,3372
810000,10212490,1690
805000,8390802,3196
800000,13687680,3721
795000,20857780,1750
790000,79482066,3297
785000,6296946,2266
780000,4540554,4144
770000,2188539,620
765000,20410116,2609
760000,6969643,1986
755000,10823760,1604
750000,16836356,2496
745000,12953739,1624
740000,306403,106
735000,16215354,1487
730000,16321983,1627
725000,7029323,2853
720000,6246349,1954
715000,13504850,2542
710000,20136412,2749
705000,14220409,3502
700000,15388640,1276
695000,19006324,2750
690000,63155574,2619
685000,100069328,1911
680000,282377760,2875
675000,44194225,2622
670000,156437645,2842
665000,119987693,3043
660000,24572757,745
655000,77682752,1609
650000,24413100,1089
645000,45838515,2672
640000,0,1
635000,51352406,2627
630000,90968084,3134
625000,28747623,2626
620000,42490802,2122
615000,22078540,2560
610000,1969494,1916
605000,1417943,113
600000,3764047,1925
595000,11189665,2391
590000,77449424,2195
585000,56596200,2028
580000,12009142,1107
575000,74443690,2851
570000,102138509,2312
565000,320026,285
560000,24239565,3300
555000,812446,203
550000,5232011,2748
545000,21357720,2847
540000,11637465,1055
535000,31863244,1298
530000,17643314,2116
525000,16578041,3028
520000,66194152,1829
515000,63025779,2737
510000,14340277,580
505000,216731998,1576
500000,339351625,2701
495000,14274290,770
490000,31333820,1470
485000,41756387,1291
480000,147458013,2117
475000,44252494,566
470000,401109970,413
465000,218382849,2217
460000,99709969,1199
455000,172106782,1403
450000,84304038,2156
445000,33901538,1099
440000,75244881,1833
435000,42555802,1640
430000,66017320,1772
425000,29618861,1046
420000,57569681,1257
415000,6411865,224
410000,10768529,612
405000,17584879,916
400000,33349423,1660
395000,81464323,2832
390000,17022828,854
385000,33931429,1969
380000,12242979,687
375000,6647762,294
370000,35083596,1434
365000,39374147,1786
360000,21340477,1223
355000,1465777,128
350000,21090104,1795
345000,14147925,960
340000,3804325,311
335000,19949327,1288
330000,652419,81
325000,13658996,620
320000,5923360,357
315000,2164681,143
310000,15638661,712
305000,4392488,255
300000,4028360,237
295000,1711000,64
290000,8678875,355
285000,1191000,66
280000,4424000,240
275000,90000,8
270000,17506391,616
265000,5504894,215
260000,6917088,156
255000,2950003,77
250000,11190100,156
245000,100000,5
240000,960000,23
235000,123490000,356
230000,13940000,150
225000,13150000,256
220000,34390000,343
215000,11910000,190
210000,1356295554,457
205000,350000,9
200000,63517500,388
195000,1875000,45
190000,9190000,145
185000,6395000,136
180000,23454600,235
175000,710000,64
170000,4750000,27
165000,0,47
160000,0,1
155000,247288,90
150000,0,10
145000,1297667,33
140000,15835346,127
135000,3000000,26
130000,7050000,9
125000,9000000,27
120000,3000000,56
115000,4000000,5
110000,0,12
105000,0,1
100000,0,4
95000,0,2
90000,0,1
85000,0,1
80000,0,2
75000,0,6
70000,0,1
65000,0,3
60000,0,1
55000,0,1
50000,0,1
45000,0,1
40000,0,1
35000,0,1
30000,0,1
25000,0,1
20000,0,1
15000,0,1
10000,0,1
5000,0,1
