Payment Hash,Amount (sats),Num Hops,Fee (sats),Local Start (unix),Local End (unix),Local Duration (s),Attempt Time (ns),Resolve Time (ns),LN Duration (s)
Dqib5PeAW4C570mdvPKg21J+GO330mB6KWn8Q+KVcCI=,100000,3,98,1737735151,1737735154,3.818,1737735151613859688,1737735154437257619,2.823397931
KWItLScHRNKeyno+IJ5nN2aID/BqNPLzH+4AEtxUxA8=,100000,3,98,1737735557,1737735581,24.147,1737735557819848280,1737735581325330395,23.505482115
EbdvXElr0FeSlN7Sc/CsQQeUp5RmNYfxXhM3CCSKUxc=,100000,3,98,1737736022,1737736030,7.315,1737736023039444961,1737736029577915367,6.538470406
PhvPxSW5TAS29RpN6klDRd9GplIbrhklBFzgGH29NM0=,100000,3,98,1737736486,1737736496,9.514,1737736487061399757,1737736495926806466,8.865406709
ggIyGqPVYlMFb/j2JJkAisukjheHPu58c63MHQu36oU=,100000,3,98,1737736906,1737736928,22.587,1737736906484687988,1737736928392144332,21.907456344
HYyVcGdy06gQvKGZywqwoRvsqsSEZo/kjpoK7b+Y4bc=,50000,3,50,1737737525,1737737531,6.427,1737737525532149787,1737737531322494876,5.790345089
0K5xrpBFTKq4EvkipzYCFY04wVkHs9GmxR4rDHYna90=,50000,3,95,1737737541,1737737554,13.055,1737737542101556694,1737737554376904646,12.275347952
bN+SzCn6QcFQhCVomyUkcB7mTT05Kol+6keigTf5vL0=,50000,3,50,1737737744,1737737764,20.136,1737737744629521444,1737737764128317360,19.498795916
v+KCUamvZ+bHo3KAcO1BviJGYlmY3UtXc+jEpmWiw3I=,50000,3,95,1737737774,1737737792,17.978,1737737774821314673,1737737792103711232,17.282396559
IkY4ruqNkrGigSgDmNb+I73GQQdStK7OfY1ntcXiZzw=,50000,3,46,1737738037,1737738057,20.604,1737738037496778800,1737738057395861094,19.899082294
SqkvgEUhYA/sSy/1CYOZz9SaAd2+83zuAuHkWN0PX4w=,50000,3,46,1737738067,1737738083,15.072,1737738068018893104,1737738082465701724,14.44680862
nHTxgOfSO0YYVI97U5Sol3k3qmShqEx+ULrpl5mfjF8=,10000,3,12,1737732594,1737732647,53.097,1737732618102744160,1737732647445648748,29.342904588
0XVqZ7bjN5wKetL6ZcT/MTVkeXXdfXiiuYQXPpFB+zQ=,10000,3,13,1737732773,1737732846,73.094,1737732782646705262,1737732845903838870,63.257133608
8sUqjFeQLq1+suXHZnzJa2dKxjW3OEtBc8oXE7kgcKY=,10000,3,12,1737732906,1737732914,7.798,1737732906560593485,1737732913694863151,7.134269666
RqnNOGaNcypU8TjkrHlXvEIPdWOo0EMXNC62rXk/5B0=,10000,3,12,1737732974,1737732989,15.804,1737732974345000020,1737732989516559593,15.171559573
j1E7AFD0Flw7+VLV26WmaU72bw6Uo11Tm22n291PGWY=,10000,3,11,1737738594,1737738599,4.293,1737738594928549650,1737738598566413088,3.637863438
3K2+ZCZORsm4unvOvlls/q6wNSSnkEBSkPjCcZRgr5w=,10000,3,10,1737738609,1737738613,4.036,1737738609312683847,1737738612602032701,3.289348854
Pjkp0jIksWtoTPo9QRlvTHXSMAGOPhoLE9ohfeRwhE8=,10000,3,10,1737738623,1737738626,3.303,1737738623255108286,1737738625902996402,2.647888116
A/kG/WCIrW8cPuqYuTZOfp+q3f3EnddzvQ1V0zV+DAU=,10000,3,10,1737738636,1737738640,3.953,1737738636542810894,1737738639855237718,3.312426824
